(0, 41, 11, 23)->[(1-1*r5), (-7+3*r5), (7-3*r5), (-7+3*r5)]
(0, 11, 63, 23)->[(1-1*r5), (11-5*r5), 0, (4-2*r5)]
(0, 11, 63, 39)->[(1-1*r5), (-7+3*r5), (-7+3*r5), (-7+3*r5)]
(0, 105, 11, 39)->[(1-1*r5), (4-2*r5), (11-5*r5), 0]
(0, 41, 11, 105)->[(1-1*r5), (4-2*r5), (-11+5*r5), 0]
(0, 16, 37, 13)->[(1-1*r5), (7-3*r5), (7-3*r5), (7-3*r5)]
(0, 16, 13, 41)->[(1-1*r5), 0, (-4+2*r5), (-11+5*r5)]
(0, 41, 13, 23)->[(1-1*r5), 0, (-4+2*r5), (11-5*r5)]
(0, 57, 13, 23)->[(1-1*r5), (7-3*r5), (7-3*r5), (-7+3*r5)]
(0, 57, 37, 13)->[(1-1*r5), (-4+2*r5), (-11+5*r5), 0]
(0, 16, 52, 37)->[(1-1*r5), (-11+5*r5), 0, (-4+2*r5)]
(0, 16, 105, 41)->[(1-1*r5), (-7+3*r5), (7-3*r5), (7-3*r5)]
(0, 16, 52, 105)->[(1-1*r5), (11-5*r5), 0, (-4+2*r5)]
(0, 57, 63, 23)->[(1-1*r5), (-11+5*r5), 0, (4-2*r5)]
(0, 72, 52, 37)->[(1-1*r5), (7-3*r5), (-7+3*r5), (7-3*r5)]
(0, 57, 72, 37)->[(1-1*r5), (-4+2*r5), (11-5*r5), 0]
(0, 72, 52, 39)->[(1-1*r5), 0, (4-2*r5), (-11+5*r5)]
(0, 105, 52, 39)->[(1-1*r5), (-7+3*r5), (-7+3*r5), (7-3*r5)]
(0, 72, 63, 39)->[(1-1*r5), 0, (4-2*r5), (11-5*r5)]
(0, 57, 72, 63)->[(1-1*r5), (7-3*r5), (-7+3*r5), (-7+3*r5)]
(17, 114, 84, 105)->[(-3+1*r5), (8-4*r5), (7-3*r5), (-4+2*r5)]
(49, 107, 28, 101)->[(3-1*r5), (4-2*r5), (8-4*r5), (7-3*r5)]
(100, 9, 12, 116)->[(-11+5*r5), (3-1*r5), (-3+1*r5), (-3+1*r5)]
(80, 1, 42, 79)->[(3-1*r5), (-7+3*r5), (-4+2*r5), (-8+4*r5)]
(54, 25, 46, 62)->[(-7+3*r5), (8-4*r5), (-4+2*r5), (-3+1*r5)]
