cluster,x,y,dir,ref,pt,consistent
19,-1.5,-11.2583302491977,0,True,1,False
19,-9,6.92820323027551,4,True,1,False
19,10.5,4.33012701892219,8,True,1,False
19,3,-10.3923048454133,10,True,1,False
19,-10.5,2.59807621135332,2,True,1,False
19,7.5,7.79422863405995,6,True,1,False
19,7.5,-9.52627944162882,0,True,1,False
19,-12,-1.73205080756888,4,True,1,False
19,4.5,11.2583302491977,8,True,1,False
19,13.5,0.866025403784438,6,True,1,False
19,-6,-12.1243556529821,10,True,1,False
19,-7.5,11.2583302491977,2,True,1,False
19,12,-8.66025403784439,10,True,1,False
19,-13.5,-6.06217782649107,2,True,1,False
19,1.5,14.7224318643355,6,True,1,False
19,13.5,-4.33012701892219,8,True,1,False
19,-10.5,-9.52627944162882,0,True,1,False
19,-3,13.856406460551,4,True,1,False
19,7.5,11.2583302491977,6,True,1,False
19,6,-12.1243556529821,10,True,1,False
19,-13.5,0.866025403784438,2,True,1,False
19,-15,-3.46410161513775,10,True,1,False
19,4.5,14.7224318643355,2,True,1,False
19,10.5,-11.2583302491977,6,True,1,False
19,-16.5,0.866025403784438,8,False,1,False
19,9,13.856406460551,4,False,1,False
19,7.5,-14.7224318643355,0,False,1,False
19,-13.5,6.06217782649107,6,True,1,True
19,12,8.66025403784439,10,True,1,True
19,1.5,-14.7224318643355,2,True,1,True
19,-16.5,-7.79422863405995,2,True,1,False
19,1.5,18.1865334794732,6,True,1,False
19,15,-10.3923048454133,10,True,1,False
19,16.5,-2.59807621135332,8,True,1,False
19,-10.5,-12.9903810567666,0,True,1,False
19,-6,15.5884572681199,4,True,1,False
19,16.5,-7.79422863405995,0,True,1,False
19,-15,-10.3923048454133,4,True,1,False
19,-1.5,18.1865334794732,8,True,1,False
19,-18,5.19615242270663,4,True,1,False
19,13.5,12.9903810567666,8,True,1,False
19,4.5,-18.1865334794732,0,True,1,False
19,-19.5,0.866025403784438,2,True,1,False
19,10.5,16.4544826719043,6,True,1,False
19,9,-17.3205080756888,10,True,1,False
19,13.5,4.33012701892219,6,True,1,False
19,-3,-13.856406460551,10,True,1,False
19,-10.5,9.52627944162882,2,True,1,False
#
20,1.5,-2.59807621135332,0,True,1,False
20,-3,0,4,True,1,False
20,1.5,2.59807621135332,8,True,1,False
20,6,-1.73205080756888,10,True,1,False
20,-4.5,-4.33012701892219,2,True,1,False
20,-1.5,6.06217782649107,6,True,1,False
20,4.5,2.59807621135332,2,False,1,False
20,0,-5.19615242270663,10,False,1,False
20,-4.5,2.59807621135332,6,False,1,False
20,7.5,2.59807621135332,8,True,1,False
20,-1.5,-7.79422863405995,0,True,1,False
20,-6,5.19615242270663,4,True,1,False
20,4.5,-6.06217782649107,8,True,1,False
20,-7.5,-0.866025403784438,0,True,1,False
20,3,6.92820323027551,4,True,1,False
20,-7.5,-4.33012701892219,0,True,1,False
20,0,8.66025403784439,4,True,1,False
20,7.5,-4.33012701892219,8,True,1,False
20,9,0,4,True,1,False
20,-4.5,-7.79422863405995,8,True,1,False
20,-4.5,7.79422863405995,0,True,1,False
20,-1.5,11.2583302491977,6,False,1,False
20,10.5,-4.33012701892219,2,False,1,False
20,-9,-6.92820323027551,10,False,1,False
20,-1.5,-11.2583302491977,0,True,1,False
20,-9,6.92820323027551,4,True,1,False
20,10.5,4.33012701892219,8,True,1,False
20,3,-10.3923048454133,10,True,1,False
20,-10.5,2.59807621135332,2,True,1,False
20,7.5,7.79422863405995,6,True,1,False
20,7.5,-9.52627944162882,0,True,1,False
20,-12,-1.73205080756888,4,True,1,False
20,4.5,11.2583302491977,8,True,1,False
20,13.5,0.866025403784438,6,True,1,False
20,-6,-12.1243556529821,10,True,1,False
20,-7.5,11.2583302491977,2,True,1,False
20,12,-8.66025403784439,10,True,1,False
20,-13.5,-6.06217782649107,2,True,1,False
20,1.5,14.7224318643355,6,True,1,False
20,13.5,-4.33012701892219,8,True,1,False
20,-10.5,-9.52627944162882,0,True,1,False
20,-3,13.856406460551,4,True,1,False
20,7.5,11.2583302491977,6,True,1,False
20,6,-12.1243556529821,10,True,1,False
20,-13.5,0.866025403784438,2,True,1,False
20,-15,-3.46410161513775,10,True,1,False
20,4.5,14.7224318643355,2,True,1,False
20,10.5,-11.2583302491977,6,True,1,False
20,-16.5,0.866025403784438,8,False,1,False
20,9,13.856406460551,4,False,1,False
20,7.5,-14.7224318643355,0,False,1,False
20,-13.5,6.06217782649107,6,True,1,False
20,12,8.66025403784439,10,True,1,False
20,1.5,-14.7224318643355,2,True,1,False
20,-16.5,-7.79422863405995,2,True,1,False
20,1.5,18.1865334794732,6,True,1,False
20,15,-10.3923048454133,10,True,1,False
20,16.5,-2.59807621135332,8,True,1,False
20,-10.5,-12.9903810567666,0,True,1,False
20,-6,15.5884572681199,4,True,1,False
20,16.5,-7.79422863405995,0,True,1,False
20,-15,-10.3923048454133,4,True,1,False
20,-1.5,18.1865334794732,8,True,1,False
20,-18,5.19615242270663,4,True,1,False
20,13.5,12.9903810567666,8,True,1,False
20,4.5,-18.1865334794732,0,True,1,False
20,-19.5,0.866025403784438,2,True,1,False
20,10.5,16.4544826719043,6,True,1,False
20,9,-17.3205080756888,10,True,1,False
20,13.5,6.06217782649107,8,True,1,True
20,-1.5,-14.7224318643355,0,True,1,True
20,-12,8.66025403784439,4,True,1,True
#
21,1.5,-2.59807621135332,0,True,1,False
21,-3,0,4,True,1,False
21,1.5,2.59807621135332,8,True,1,False
21,6,-1.73205080756888,10,True,1,False
21,-4.5,-4.33012701892219,2,True,1,False
21,-1.5,6.06217782649107,6,True,1,False
21,4.5,2.59807621135332,2,False,1,False
21,0,-5.19615242270663,10,False,1,False
21,-4.5,2.59807621135332,6,False,1,False
21,7.5,2.59807621135332,8,True,1,False
21,-1.5,-7.79422863405995,0,True,1,False
21,-6,5.19615242270663,4,True,1,False
21,4.5,-6.06217782649107,8,True,1,False
21,-7.5,-0.866025403784438,0,True,1,False
21,3,6.92820323027551,4,True,1,False
21,-7.5,-4.33012701892219,0,True,1,False
21,0,8.66025403784439,4,True,1,False
21,7.5,-4.33012701892219,8,True,1,False
21,9,0,4,True,1,False
